OFFICIAL_GENE_NAME	OFFICIAL_TF_CODING_GENE_NAME	REGULATION	REF	SPECIES	REF ACCESSION #
1110021J02RIK	RBPJ	UP	Pubmed	mus musculus;	;15979417
1700080O16RIK	GLI1	UP	Pubmed	mus musculus;	;19095649
2210411K11RIK	RBPJ	DOWN	Pubmed	mus musculus;	;15979417
4930523C07RIK	GLI1	DOWN	Pubmed	mus musculus;	;19095649
A2M	STAT3	UP	Pubmed	human, Homo sapiens;	;11466367
AANAT	CREB1	UP	trrd;	rat, Rattus norvegicus	S7777;
AATF	CTNNB1	DOWN	Pubmed	human, Homo sapiens;	;16959035
ABCA1	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
ABCA1	NR1H2	UP	Pubmed	human, Homo sapiens	;19258656
ABCA1	NR1H3	UP	Pubmed	human, Homo sapiens	;19258656
ABCA1	SP3	DOWN	trrd	human, Homo sapiens;	S7279;
ABCA1	SREBF2	DOWN	Pubmed	;homo sapiens	;15358760
ABCA3	CEBPA	UP	Pubmed	;homo sapiens; mus musculus	17890326;
ABCA3	FOXA2	UP	Pubmed	;homo sapiens; mus musculus	;17890326
ABCA3	GATA6	UP	Pubmed	human, Homo sapiens	;17890326
ABCA3	NFATC3	UP	Pubmed	;homo sapiens; mus musculus	;17890326
ABCA3	NKX2-1	UP	Pubmed	;homo sapiens; mus musculus	;17890326
ABCA3	SREBF1	UP	Pubmed	hUman, Homo sapiens;	;17890326
ABCB1	CEBPB	UP	Pubmed	;homo sapiens	9040943;
ABCB1	CTNNB1	UP	Pubmed	mouse, Mus musculus; homo sapiens	;12154096;10987283;15592430
ABCB1	EGR1	UP	Pubmed	human, Homo sapiens;	;7565762
ABCB1	FOXO1	UP	Pubmed	human, Homo sapiens	;18301748
ABCB1	HIF1A	UP	Pubmed	human, Homo sapiens	;17452336;
ABCB1	NFKB1	UP	Pubmed	human, Homo sapiens	;12527911;
ABCB1	RELA	UP	Pubmed	human, Homo sapiens	;12527911;
ABCB1	RELB	UP	Pubmed	human, Homo sapiens	;12527911;
ABCB1	SP1	UP	Pubmed	human, Homo sapiens;	;17363581;
ABCB1	TCF7L2	UP	Pubmed	mouse, Mus musculus; homo sapiens	;12154096;10987283;15592430
ABCB1	TP53	UP	pazar	human, Homo sapiens;	pazar_ABS;
ABCC1	TP53	UP	pazar	hUman, Homo sapiens;	pazar_ABS;
ABCC2	TP53	UP	pazar	hUman, Homo sapiens;	pazar_ABS;
ABCC3	TP53	UP	pazar	hUman, Homo sapiens;	pazar_ABS;
ABCC4	TP53	UP	pazar	hUman, Homo sapiens;	pazar_ABS;
ABCC8	SP1	UP	trrd;	mouse, Mus musculus;	S7431;
ABCD2	PPARA	UP	Pubmed	;mus musculus	;14654352
ABCG1	NR1H2	UP	Pubmed	human, Homo sapiens	;19258656
ABCG1	NR1H3	UP	Pubmed	human, Homo sapiens	;19258656
ABCG5	NR1H2	UP	Pubmed	human, Homo sapiens	;19258656
ABCG5	NR1H3	UP	Pubmed	human, Homo sapiens	;19258656
ABCG8	NR1H2	UP	Pubmed	human, Homo sapiens	;19258656
ABCG8	NR1H3	UP	Pubmed	human, Homo sapiens	;19258656
ABI2	MYC	DOWN	Pubmed	rat, Rattus norvegicus	;11085504
ACACA	SP1	UP	pazar	rat, Rattus norvegicus	;
ACACA	SREBF1	UP	Pubmed	hUman, Homo sapiens;	;12871210
ACADM	NR2F1	DOWN	trrd	hUman, Homo sapiens;	S2311;
ACADSB	FOXO1	UP	Pubmed	human, Homo sapiens	;12351634;
ACAT2	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;16492665;
ACAT2	HNF1A	UP	Pubmed	mouse, Mus musculus;	;15961790
ACAT2	SREBF1	UP	Pubmed	hUman, Homo sapiens;	;12145168
ACE	EGR1	UP	Pubmed	human, Homo sapiens	;14679188;
ACHE	EGR1	DOWN	pazar	human, Homo sapiens;	pazar_ABS;
ACHE	GABPA	UP	trrd	rat, Rattus norvegicus	S7390;
ACHE	SP1	UP	pazar; trrd	mouse, Mus musculus;	pazar_ABS; S1729; 
ACLY	SP1	DOWN	trrd;	rat, Rattus norvegicus;	S7490;
ACLY	SREBF1	UP	Pubmed	;homo sapiens	;10777536
ACLY	SREBF2	UP	Pubmed	;homo sapiens	;10777536
ACR	SREBF2	UP	Pubmed	;rattus norvegicus	;15572673
ACSL1	SREBF1	UP	Pubmed	;mus musculus	;11739104
ACSL1	SREBF2	UP	Pubmed	;mus musculus	;11739104
ACSL4	MYC	DOWN	Pubmed	rat, Rattus norvegicus	;11085504
ACSL5	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;16492665;
ACSS2	SP1	UP	Pubmed	;mus musculus	;11435428
ACSS2	SP3	UP	Pubmed	;mus musculus	;11435428
ACSS2	SREBF1	UP	Pubmed	;mus musculus	;11435428
ACSS2	SREBF2	UP	Pubmed	;mus musculus	;11435428
ACTA2	RBPJ	DOWN	Pubmed	human, Homo sapiens; mus musculus	;15987768;16741155;15634680
ACTA2	SMAD3	UP	Pubmed	;rattus norvegicus	;12702545
ADA	GATA4	UP	NfiRegulomeDB	human, Homo sapiens	;
ADA	PDX1	UP	NfiRegulomeDB	human, Homo sapiens	;
ADA	SP1	UP	trrd;	human, Homo sapiens;	S4052;
ADAM12	GLI1	DOWN	Pubmed	mus musculus;	;19095649
ADAM19	NOTCH1	UP	Pubmed	mouse, Mus musculus;	;10933396
ADAM19	RBPJ	UP	Pubmed	mouse, Mus musculus;	;10933396
ADAM2	CTNNB1	DOWN	Pubmed	hUman, Homo sapiens;	;15979100
ADAM2	LEF1	DOWN	Pubmed	hUman, Homo sapiens;	;15979100
ADD3	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
ADH1A	CEBPB	UP	Pubmed	;Homo sapiens	1620113;
ADH1A	DBP	UP	Pubmed	;Homo sapiens	;1620113
ADH1A	HNF1A	UP	Pubmed	;Homo sapiens	;1620113
ADH1B	CEBPA	UP	Pubmed	;Homo sapiens	1620113;
ADH1B	CEBPB	UP	Pubmed	;Homo sapiens	1620113;
ADH1B	DBP	UP	Pubmed	;Homo sapiens	;1620113
ADH1C	CEBPB	UP	Pubmed	;Homo sapiens	1620113;
ADH1C	DBP	UP	Pubmed	;Homo sapiens	;1620113
ADIPOQ	FOXO1	UP	Pubmed	mouse, Mus musculus;	;17090532;
ADM	CREB1	UP	Pubmed	mouse, Mus musculus;	;14973073
ADM	FOXO1	UP	Pubmed	mouse, Mus musculus;	;17254969
ADM	HIF1A	UP	Pubmed	human, Homo sapiens	;10847587;
ADORA2A	RELA	DOWN	pazar	human, Homo sapiens	0
ADRB1	EGR1	DOWN	trrd;	rat, Rattus norvegicus	S9259;
ADRB1	SP1	UP	trrd;	rat, Rattus norvegicus	S9258;
AFP	CEBPA	UP	NFIRegulomeDB;	rat, Rattus norvegicus	;
AFP	HNF1A	UP	NfiRegulomeDB	rat, Rattus norvegicus	;
AFP	NR3C1	DOWN	NfiRegulomeDB	rat, Rattus norvegicus	;
AFP	TP53	DOWN	pazar	hUman, Homo sapiens;	pazar_ABS;
AGR2	SOX2	UP	Pubmed	;mus musculus	;20011520
